date,rank,code,name,score,close,is_limit_up,is_limit_down
2026-04-28,2,600152,维科技术,6.0,15.69,True,False
2026-04-28,3,603318,水发燃气,6.0,13.78,True,False
2026-04-28,4,600396,华电辽能,6.0,10.8,False,False
2026-04-28,5,600156,华升股份,5.0,10.14,True,False
2026-04-29,1,002297,博云新材,8.0,23.21,False,False
2026-04-29,2,002081,金 螳 螂,7.0,5.36,True,False
2026-04-29,3,600156,华升股份,6.0,11.16,True,False
2026-04-29,4,600152,维科技术,6.0,14.5,False,False
2026-04-29,5,603318,水发燃气,6.0,14.55,False,False
2026-04-30,1,002081,金 螳 螂,8.0,5.9,True,False
2026-04-30,2,002297,博云新材,8.0,24.5,False,False
2026-04-30,3,002990,盛视科技,6.0,53.74,True,False
2026-04-30,4,600156,华升股份,6.0,10.79,False,False
2026-04-30,5,600152,维科技术,6.0,14.85,False,False
2026-05-06,1,002081,金 螳 螂,9.0,6.49,True,False
2026-05-06,2,002297,博云新材,8.0,24.01,False,False
2026-05-06,3,600396,华电辽能,7.0,10.91,True,False
2026-05-06,4,002990,盛视科技,6.0,58.32,False,False
2026-05-06,5,600152,维科技术,6.0,15.09,False,False
2026-05-07,1,002081,金 螳 螂,10.0,7.14,True,False
2026-05-07,2,600396,华电辽能,8.0,12.0,True,False
2026-05-07,3,002297,博云新材,8.0,24.75,False,False
2026-05-07,4,000889,中嘉博创,6.0,5.35,True,False
2026-05-07,5,600152,维科技术,6.0,15.11,False,False
2026-05-08,1,002081,金 螳 螂,10.0,6.8,False,False
2026-05-08,2,600396,华电辽能,8.0,12.44,False,False
2026-05-08,3,002297,博云新材,8.0,25.71,False,False
2026-05-08,4,002990,盛视科技,7.0,62.65,False,False
2026-05-08,5,002580,圣阳股份,6.0,32.9,True,False
2026-05-11,1,002081,金 螳 螂,10.0,7.25,False,False
2026-05-11,2,600396,华电辽能,7.0,13.68,True,False
2026-05-11,3,603738,泰晶科技,6.0,51.71,True,False
2026-05-11,4,603318,水发燃气,6.0,12.1,False,False
2026-05-11,5,002491,通鼎互联,5.0,22.73,True,False
2026-05-12,1,002081,金 螳 螂,11.0,7.98,True,False
2026-05-12,2,600396,华电辽能,8.0,15.05,True,False
2026-05-12,3,603738,泰晶科技,6.0,54.28,False,False
2026-05-12,4,002491,通鼎互联,5.0,25.0,True,False
2026-05-12,5,600683,京投发展,5.0,20.85,True,False
2026-05-13,1,002081,金 螳 螂,10.0,7.88,False,False
2026-05-13,2,600396,华电辽能,9.0,16.56,True,False
2026-05-13,3,600379,宝光股份,6.0,18.91,True,False
2026-05-13,4,000889,中嘉博创,5.0,5.57,True,False
2026-05-13,5,000925,众合科技,5.0,11.84,True,False
2026-05-14,1,002081,金 螳 螂,10.0,7.93,False,False
2026-05-14,2,600396,华电辽能,9.0,16.64,False,False
2026-05-14,3,600379,宝光股份,6.0,18.94,False,False
2026-05-14,4,002918,蒙娜丽莎,5.0,16.94,True,False
2026-05-14,5,600156,华升股份,5.0,14.19,True,False
2026-05-15,1,002081,金 螳 螂,10.0,7.85,False,False
2026-05-15,2,600396,华电辽能,9.0,17.43,False,False
2026-05-15,3,002918,蒙娜丽莎,6.0,18.63,True,False
2026-05-15,4,600379,宝光股份,6.0,18.66,False,False
2026-05-15,5,001259,利仁科技,5.0,60.4,True,False
2026-05-18,1,600396,华电辽能,7.0,15.69,False,True
2026-05-18,2,002081,金 螳 螂,7.0,7.07,False,True
2026-05-18,3,002918,蒙娜丽莎,6.0,16.77,False,True
2026-05-18,4,600379,宝光股份,6.0,16.79,False,True
2026-05-18,5,002552,宝鼎科技,5.0,35.34,True,False
2026-05-19,1,002552,宝鼎科技,6.0,38.87,True,False
2026-05-19,2,603779,威龙股份,6.0,12.0,True,False
2026-05-19,3,002918,蒙娜丽莎,6.0,16.77,False,False
